term1,term2,relation
are,service,hypo
are,service,hypo
are,service,hypo
hotel,alojamento,hypo
hotel,hotel,hypo
hotel,hotel,hyper
min,nan,hyper
min,nan,hyper
cordialidade,facilidade,hypo
preço,preço,hypo
preço,preço,hyper
funcionalidade,facilidade,hypo
funcionalidade,service,hypo
funcionalidade,service,hypo
funcionalidade,service,hypo
funcionalidade,acomodação,hyper
funcionalidade,suíte,hyper
casar,família,hypo
casar,família,hyper
prazer,facilidade,hypo
quarto,quarto,hypo
quarto,quarto,hyper
pontar,endereço,hypo
pontar,endereço,hypo
pontar,endereço,hypo
pontar,endereço,hypo
pontar,praia,hyper
chefe,porteiro,hyper
comemoração,monumento,hyper
monumento,albergue,hyper
monumento,pousada,hyper
monumento,hotel,hyper
monumento,monumento,hyper
monumento,museu,hyper
monumento,igreja,hyper
monumento,jardins,hyper
monumento,parque,hyper
monumento,aeroporto,hyper
monumento,estádio,hyper
experiência,facilidade,hypo
equipamento,alojamento,hypo
equipamento,alojamento,hypo
patio,hostal,hyper
patio,albergue,hyper
patio,pousada,hyper
patio,apartamento,hyper
patio,hotel,hyper
patio,motel,hyper
patio,monumento,hyper
patio,museu,hyper
patio,jardins,hyper
patio,parque,hyper
patio,teatro,hyper
patio,aeroporto,hyper
patio,porteiro,hyper
patio,suíte,hyper
joia,babá,hyper
mínimo,duplo,hyper
capítulo,quarto,hypo
bagunça,babá,hyper
rue,endereço,hypo
rue,endereço,hypo
rue,endereço,hypo
rue,endereço,hypo
sortir,service,hypo
sortir,service,hypo
sortir,service,hypo
sortir,hostal,hyper
confortar,albergue,hyper
facilidade,facilidade,hypo
facilidade,facilidade,hyper
filho,família,hypo
filho,família,hyper
pequeno,hostal,hyper
decepção,facilidade,hypo
decepção,acomodação,hyper
apartamento,alojamento,hypo
apartamento,alojamento,hypo
apartamento,alojamento,hypo
apartamento,endereço,hypo
apartamento,endereço,hypo
apartamento,quarto,hypo
apartamento,babá,hyper
apartamento,porteiro,hyper
apartamento,casal,hypo
apartamento,suíte,hyper
apartamento,casal,hyper
turístico,alojamento,hypo
turístico,alojamento,hypo
turístico,alojamento,hypo
turístico,pousada,hyper
turístico,hotel,hyper
turístico,monumento,hyper
turístico,museu,hyper
turístico,parque,hyper
turístico,aeroporto,hyper
turístico,praia,hyper
frequência,facilidade,hypo
morador,albergue,hyper
morador,pousada,hyper
morador,apartamento,hyper
morador,motel,hyper
morador,porteiro,hyper
aperitivo,refeição,hypo
aperitivo,hotel,hyper
movimentação,facilidade,hypo
movimentação,acomodação,hyper
atracão,hostal,hyper
atracão,praia,hyper
diretor,porteiro,hyper
serviço,service,hypo
família,família,hypo
família,família,hyper
charme,apartamento,hyper
nacionalidade,pensão,hyper
indicação,endereço,hypo
indicação,endereço,hypo
luxar,refeição,hypo
grosseria,facilidade,hypo
varanda,quarto,hypo
varanda,refeição,hypo
varanda,hostal,hyper
varanda,albergue,hyper
varanda,pousada,hyper
varanda,apartamento,hyper
varanda,hotel,hyper
varanda,motel,hyper
varanda,porteiro,hyper
varanda,casal,hypo
varanda,suíte,hyper
varanda,casal,hyper
varanda,lavanderia,hypo
varanda,lavanderia,hyper
deliciar,refeição,hypo
sainte,hostal,hyper
rir,teatro,hyper
instalação,alojamento,hypo
instalação,alojamento,hypo
instalação,alojamento,hypo
instalação,pousada,hyper
instalação,acomodação,hyper
instalação,recepção,hyper
shopping,monumento,hyper
shopping,museu,hyper
shopping,jardins,hyper
shopping,arena,hyper
shopping,parque,hyper
shopping,teatro,hyper
shopping,aeroporto,hyper
shopping,estádio,hyper
shopping,praia,hyper
final,quarto,hypo
velocidade,facilidade,hypo
sapato,apartamento,hyper
sapato,porteiro,hyper
refeição,refeição,hypo
refeição,refeição,hyper
refeição,almoço,hyper
refeição,jantar,hyper
batata,refeição,hypo
net,service,hypo
princípio,quarto,hypo
prestatividade,facilidade,hypo
prestatividade,acomodação,hyper
prestatividade,babá,hyper
prestatividade,porteiro,hyper
prestatividade,recepção,hyper
o,quarto,hypo
0º,quarto,hypo
boutique,albergue,hyper
boutique,pousada,hyper
boutique,apartamento,hyper
boutique,hotel,hyper
boutique,motel,hyper
boutique,babá,hyper
boutique,suíte,hyper
construção,monumento,hyper
construção,parque,hyper
bango,hostal,hyper
bango,babá,hyper
bango,nan,hyper
bango,porteiro,hyper
bango,nan,hyper
fechamento,acomodação,hyper
saudade,pousada,hyper
cafeterias,refeição,hypo
cafeterias,albergue,hyper
cafeterias,hotel,hyper
cafeterias,motel,hyper
cafeterias,jardins,hyper
cafeterias,suíte,hyper
acolhimento,alojamento,hypo
acolhimento,alojamento,hypo
acolhimento,alojamento,hypo
acolhimento,alojamento,hypo
acolhimento,albergue,hyper
acolhimento,acomodação,hyper
acolhimento,pensão,hyper
acolhimento,recepção,hyper
motorista,motel,hyper
motorista,babá,hyper
motorista,porteiro,hyper
mapa,endereço,hypo
mapa,endereço,hypo
mapa,endereço,hypo
mapa,endereço,hypo
clássico,arena,hyper
clássico,teatro,hyper
clássico,estádio,hyper
higiene,alojamento,hypo
higiene,alojamento,hypo
higiene,alojamento,hypo
higiene,alojamento,hypo
higiene,acomodação,hyper
av,endereço,hypo
av,endereço,hypo
av,parque,hyper
av,praia,hyper
convite,recepção,hyper
sobremesa,refeição,hypo
sobremesa,albergue,hyper
sobremesa,pousada,hyper
sobremesa,hotel,hyper
sobremesa,suíte,hyper
gentilíssimo,hostal,hyper
gentilíssimo,pousada,hyper
gentilíssimo,monumento,hyper
gentilíssimo,igreja,hyper
gentilíssimo,jardins,hyper
gentilíssimo,babá,hyper
gentilíssimo,porteiro,hyper
musicar,hostal,hyper
musicar,teatro,hyper
horário,horário,hypo
horário,horário,hyper
alojamento,alojamento,hypo
alojamento,alojamento,hypo
alojamento,alojamento,hypo
alojamento,refeição,hypo
alojamento,albergue,hyper
alojamento,pousada,hyper
alojamento,acomodação,hyper
alojamento,pensão,hyper
alojamento,apartamento,hyper
alojamento,hotel,hyper
fruir,jardins,hyper
fruir,praia,hyper
rei,hostal,hyper
rei,porteiro,hyper
bêbado,motel,hyper
bêbado,babá,hyper
bêbado,porteiro,hyper
combinar,facilidade,hypo
spa,albergue,hyper
spa,hotel,hyper
tratamento,alojamento,hypo
tratamento,alojamento,hypo
tratamento,alojamento,hypo
tratamento,recepção,hyper
celebridade,babá,hyper
drinques,refeição,hypo
drinques,hotel,hyper
drinques,suíte,hyper
drinques,lavanderia,hypo
drinques,lavanderia,hyper
lavabo,hostal,hyper
lavabo,albergue,hyper
lavabo,pousada,hyper
lavabo,apartamento,hyper
lavabo,hotel,hyper
lavabo,motel,hyper
lavabo,porteiro,hyper
lavabo,suíte,hyper
lavabo,lavanderia,hypo
lavabo,lavanderia,hyper
monte,hostal,hyper
monte,albergue,hyper
monte,hotel,hyper
monte,monumento,hyper
monte,parque,hyper
monte,praia,hyper
ária,teatro,hyper
ária,suíte,hyper
lazer,alojamento,hypo
lazer,alojamento,hypo
lazer,alojamento,hypo
lazer,alojamento,hypo
lazer,albergue,hyper
lazer,pousada,hyper
lazer,acomodação,hyper
lazer,jardins,hyper
lazer,parque,hyper
lazer,praia,hyper
tranquilidade,facilidade,hypo
tranquilidade,acomodação,hyper
estacionamento,alojamento,hypo
estacionamento,porteiro,hyper
manobrista,albergue,hyper
manobrista,pousada,hyper
manobrista,apartamento,hyper
manobrista,hotel,hyper
manobrista,motel,hyper
manobrista,babá,hyper
manobrista,porteiro,hyper
impressor,endereço,hypo
impressor,endereço,hypo
impressor,porteiro,hyper
grátis,alojamento,hypo
grátis,service,hypo
grátis,service,hypo
gradar,facilidade,hypo
gradar,refeição,hypo
gradar,hostal,hyper
gradar,pousada,hyper
campar,refeição,hypo
campar,hostal,hyper
campar,babá,hyper
campar,porteiro,hyper
montanha,parque,hyper
montanha,praia,hyper
massagem,refeição,hypo
massagem,acomodação,hyper
locação,alojamento,hypo
locação,alojamento,hypo
locação,alojamento,hypo
locação,alojamento,hypo
locação,acomodação,hyper
locação,pensão,hyper
locação,hotel,hyper
locação,recepção,hyper
seguro,alojamento,hypo
seguro,alojamento,hypo
seguro,pensão,hyper
cadastrar,endereço,hypo
cadastrar,endereço,hypo
diversão,refeição,hypo
diversão,acomodação,hyper
diversão,jardins,hyper
diversão,parque,hyper
diversão,praia,hyper
prestigiar,arena,hyper
suítes,alojamento,hypo
suítes,alojamento,hypo
suítes,alojamento,hypo
suítes,alojamento,hypo
suítes,albergue,hyper
suítes,pousada,hyper
suítes,acomodação,hyper
suítes,apartamento,hyper
suítes,hotel,hyper
suítes,jardins,hyper
suítes,suíte,hyper
ingresso,endereço,hypo
ingresso,endereço,hypo
ingresso,endereço,hypo
ingresso,endereço,hypo
ingresso,acomodação,hyper
casino,arena,hyper
casino,parque,hyper
casino,teatro,hyper
casino,estádio,hyper
casino,praia,hyper
circo,hostal,hyper
circo,albergue,hyper
circo,hotel,hyper
circo,museu,hyper
circo,arena,hyper
circo,parque,hyper
circo,teatro,hyper
show,arena,hyper
show,teatro,hyper
apresentação,recepção,hyper
completo,endereço,hypo
completo,endereço,hypo
idade,pensão,hyper
hall,apartamento,hyper
hall,hotel,hyper
hall,motel,hyper
bufete,refeição,hypo
espetáculo,museu,hyper
espetáculo,arena,hyper
espetáculo,teatro,hyper
lago,pousada,hyper
lago,hotel,hyper
lago,monumento,hyper
lago,museu,hyper
lago,jardins,hyper
lago,parque,hyper
lago,aeroporto,hyper
lago,praia,hyper
chique,albergue,hyper
chique,apartamento,hyper
chique,hotel,hyper
chique,motel,hyper
chique,porteiro,hyper
acomodação,alojamento,hypo
acomodação,alojamento,hypo
acomodação,alojamento,hypo
acomodação,refeição,hypo
acomodação,albergue,hyper
acomodação,acomodação,hyper
confortável,acomodação,hyper
salão,porteiro,hyper
beleza,praia,hyper
atração,arena,hyper
atração,parque,hyper
espetáculos,jardins,hyper
espetáculos,arena,hyper
espetáculos,teatro,hyper
espetáculos,suíte,hyper
condição,facilidade,hypo
condição,pensão,hyper
duplo,quarto,hypo
duplo,duplo,hyper
código,endereço,hypo
código,endereço,hypo
código,service,hypo
código,service,hypo
código,service,hypo
agência,service,hypo
agência,service,hypo
agência,service,hypo
dimensão,facilidade,hypo
vip,acomodação,hyper
vip,hotel,hyper
vip,motel,hyper
grandiosidade,facilidade,hypo
grandiosidade,monumento,hyper
perfeição,facilidade,hypo
arrumadeira,refeição,hypo
arrumadeira,albergue,hyper
arrumadeira,pousada,hyper
arrumadeira,pensão,hyper
arrumadeira,apartamento,hyper
arrumadeira,hotel,hyper
arrumadeira,motel,hyper
arrumadeira,babá,hyper
arrumadeira,porteiro,hyper
arrumadeira,casal,hypo
arrumadeira,suíte,hyper
arrumadeira,casal,hyper
garçons,refeição,hypo
garçons,albergue,hyper
garçons,hotel,hyper
garçons,motel,hyper
garçons,babá,hyper
garçons,porteiro,hyper
garçons,lavanderia,hypo
garçons,lavanderia,hyper
mercadinhos,jardins,hyper
otimismo,acomodação,hyper
solei,service,hypo
solei,service,hypo
solei,service,hypo
solei,hostal,hyper
solei,hotel,hyper
solei,motel,hyper
solei,teatro,hyper
solei,nan,hyper
solei,nan,hyper
solei,suíte,hyper
comprinhas,refeição,hypo
comprinhas,lavanderia,hypo
comprinhas,lavanderia,hyper
orar,refeição,hypo
orar,igreja,hyper
sombra,pousada,hyper
sombra,jardins,hyper
mobiliário,alojamento,hypo
mobiliário,alojamento,hypo
mobiliário,alojamento,hypo
mobiliário,alojamento,hypo
burocracia,facilidade,hypo
local,alojamento,hypo
local,endereço,hypo
local,endereço,hypo
local,endereço,hypo
local,endereço,hypo
local,parque,hyper
local,aeroporto,hyper
local,estádio,hyper
cardápio,alojamento,hypo
cardápio,alojamento,hypo
cardápio,alojamento,hypo
cardápio,refeição,hypo
cardápio,albergue,hyper
cardápio,hotel,hyper
cardápio,suíte,hyper
encore,service,hypo
encore,service,hypo
encore,service,hypo
encore,suíte,hyper
história,museu,hyper
hoteleiro,alojamento,hypo
hoteleiro,alojamento,hypo
hoteleiro,alojamento,hypo
hoteleiro,alojamento,hypo
hoteleiro,hostal,hyper
hoteleiro,albergue,hyper
hoteleiro,pousada,hyper
hoteleiro,hotel,hyper
hoteleiro,motel,hyper
hoteleiro,porteiro,hyper
complexo,hotel,hyper
complexo,monumento,hyper
complexo,museu,hyper
complexo,parque,hyper
complexo,estádio,hyper
light,service,hypo
light,service,hypo
light,service,hypo
cinema,hotel,hyper
cinema,museu,hyper
cinema,teatro,hyper
desconto,pensão,hyper
divino,hostal,hyper
divino,igreja,hyper
online,endereço,hypo
online,endereço,hypo
online,service,hypo
online,service,hypo
online,service,hypo
assentir,pensão,hyper
título,quarto,hypo
título,pensão,hyper
hotelaria,alojamento,hypo
hotelaria,alojamento,hypo
hotelaria,alojamento,hypo
hotelaria,alojamento,hypo
hotelaria,albergue,hyper
hotelaria,pousada,hyper
hotelaria,hotel,hyper
hotelaria,parque,hyper
hotelaria,praia,hyper
isolamento,alojamento,hypo
isolamento,alojamento,hypo
isolamento,alojamento,hypo
isolamento,alojamento,hypo
isolamento,albergue,hyper
isolamento,acomodação,hyper
capacidade,facilidade,hypo
capacidade,acomodação,hyper
jogo,estádio,hyper
sugestão,refeição,hypo
rotina,refeição,hypo
fortuna,pensão,hyper
fortuna,família,hypo
fortuna,família,hyper
substrutura,hostal,hyper
substrutura,pousada,hyper
substrutura,acomodação,hyper
casal,casal,hypo
casal,casal,hyper
festa,refeição,hypo
festa,hostal,hyper
festa,pousada,hyper
festa,hotel,hyper
festa,monumento,hyper
festa,igreja,hyper
festa,parque,hyper
festa,teatro,hyper
festa,praia,hyper
pool,service,hypo
pool,service,hypo
pool,service,hypo
pool,hotel,hyper
prático,duplo,hyper
gastronomia,refeição,hypo
gastronomia,museu,hyper
gastronomia,teatro,hyper
gastronomia,praia,hyper
aluguel,alojamento,hypo
aluguel,alojamento,hypo
aluguel,alojamento,hypo
aluguel,albergue,hyper
aluguel,acomodação,hyper
aluguel,pensão,hyper
aluguel,apartamento,hyper
aluguel,motel,hyper
aluguel,babá,hyper
aluguel,porteiro,hyper
veículo,aeroporto,hyper
comodidade,alojamento,hypo
comodidade,alojamento,hypo
comodidade,alojamento,hypo
comodidade,facilidade,hypo
comodidade,refeição,hypo
comodidade,albergue,hyper
comodidade,acomodação,hyper
fugir,motel,hyper
fugir,porteiro,hyper
flexibilidade,facilidade,hypo
flexibilidade,acomodação,hyper
multidão,refeição,hypo
multidão,hostal,hyper
multidão,igreja,hyper
multidão,arena,hyper
multidão,praia,hyper
oportunidade,facilidade,hypo
luxuoso,alojamento,hypo
luxuoso,alojamento,hypo
luxuoso,alojamento,hypo
luxuoso,alojamento,hypo
luxuoso,hostal,hyper
luxuoso,albergue,hyper
luxuoso,pousada,hyper
luxuoso,apartamento,hyper
luxuoso,hotel,hyper
luxuoso,motel,hyper
luxuoso,casal,hypo
luxuoso,suíte,hyper
luxuoso,casal,hyper
cardar,hostal,hyper
insistência,facilidade,hypo
bolsar,porteiro,hyper
segundo,quarto,hypo
palácio,hostal,hyper
palácio,albergue,hyper
palácio,pousada,hyper
palácio,apartamento,hyper
palácio,hotel,hyper
palácio,monumento,hyper
palácio,museu,hyper
palácio,igreja,hyper
palácio,jardins,hyper
palácio,parque,hyper
palácio,teatro,hyper
palácio,aeroporto,hyper
palácio,estádio,hyper
palácio,suíte,hyper
puro,duplo,hyper
relógio,porteiro,hyper
lembrança,refeição,hypo
lembrança,pousada,hyper
lembrança,monumento,hyper
piano,suíte,hyper
insatisfação,acomodação,hyper
rapidez,facilidade,hypo
agradável,refeição,hypo
agradável,jardins,hyper
sol,hostal,hyper
sol,praia,hyper
auxílio,pensão,hyper
saguão,albergue,hyper
saguão,pousada,hyper
saguão,apartamento,hyper
saguão,hotel,hyper
saguão,motel,hyper
saguão,porteiro,hyper
saguão,suíte,hyper
aprox,hostal,hyper
mu,nan,hyper
mu,nan,hyper
parabém,hostal,hyper
parabém,igreja,hyper
apart,service,hypo
apart,service,hypo
apart,service,hypo
infraestrutura,alojamento,hypo
infraestrutura,alojamento,hypo
infraestrutura,alojamento,hypo
infraestrutura,acomodação,hyper
infraestrutura,aeroporto,hyper
medo,facilidade,hypo
nêuston,hostal,hyper
poltrona,refeição,hypo
poltrona,pousada,hyper
poltrona,apartamento,hyper
poltrona,hotel,hyper
poltrona,motel,hyper
poltrona,porteiro,hyper
poltrona,suíte,hyper
poltrona,lavanderia,hypo
poltrona,lavanderia,hyper
frequentador,porteiro,hyper
evento,monumento,hyper
evento,museu,hyper
evento,arena,hyper
evento,parque,hyper
balcão,refeição,hypo
balcão,porteiro,hyper
estacionar,aeroporto,hyper
privativo,alojamento,hypo
privativo,alojamento,hypo
privativo,alojamento,hypo
privativo,alojamento,hypo
privativo,albergue,hyper
privativo,pousada,hyper
privativo,acomodação,hyper
privativo,hotel,hyper
privativo,parque,hyper
privativo,praia,hyper
privativo,porteiro,hyper
privativo,suíte,hyper
térreo,endereço,hypo
térreo,endereço,hypo
térreo,quarto,hypo
térreo,hostal,hyper
térreo,albergue,hyper
térreo,pousada,hyper
térreo,acomodação,hyper
térreo,apartamento,hyper
térreo,hotel,hyper
térreo,motel,hyper
térreo,porteiro,hyper
térreo,suíte,hyper
térreo,lavanderia,hypo
térreo,lavanderia,hyper
mar,praia,hyper
garagem,albergue,hyper
garagem,pousada,hyper
garagem,apartamento,hyper
garagem,hotel,hyper
garagem,motel,hyper
garagem,babá,hyper
garagem,porteiro,hyper
garagem,suíte,hyper
preocupação,facilidade,hypo
pressão,acomodação,hyper
lanchar,refeição,hypo
lanchar,albergue,hyper
lanchar,pousada,hyper
lanchar,apartamento,hyper
lanchar,hotel,hyper
lanchar,motel,hyper
lanchar,babá,hyper
lanchar,porteiro,hyper
modernidade,acomodação,hyper
agilidade,facilidade,hypo
persiano,hostal,hyper
persiano,museu,hyper
persiano,teatro,hyper
persiano,babá,hyper
monitor,endereço,hypo
monitor,endereço,hypo
completíssimo,endereço,hypo
completíssimo,endereço,hypo
completíssimo,duplo,hyper
completíssimo,suíte,hyper
espaçoso,alojamento,hypo
espaçoso,alojamento,hypo
espaçoso,alojamento,hypo
espaçoso,alojamento,hypo
espaçoso,albergue,hyper
espaçoso,acomodação,hyper
espaçoso,apartamento,hyper
espaçoso,hotel,hyper
trecho,monumento,hyper
trecho,aeroporto,hyper
sanduíche,refeição,hypo
sanduíche,motel,hyper
milha,praia,hyper
buá,hostal,hyper
desertá,hostal,hyper
enganação,babá,hyper
sensação,facilidade,hypo
insegurança,facilidade,hypo
insegurança,acomodação,hyper
residência,alojamento,hypo
residência,alojamento,hypo
residência,alojamento,hypo
